city_state,mean_score,std_dev,coefficient_of_variation,category_changes,score_range,min_score,max_score,is_zero_score,stability_rating,score_radius_50,category_radius_50,performance_diff_radius_50,network_penetration_radius_50,growth_potential_radius_50,performance_efficiency_radius_50,saturation_risk_radius_50,score_radius_100,category_radius_100,performance_diff_radius_100,network_penetration_radius_100,growth_potential_radius_100,performance_efficiency_radius_100,saturation_risk_radius_100,score_radius_150,category_radius_150,performance_diff_radius_150,network_penetration_radius_150,growth_potential_radius_150,performance_efficiency_radius_150,saturation_risk_radius_150,score_radius_250,category_radius_250,performance_diff_radius_250,network_penetration_radius_250,growth_potential_radius_250,performance_efficiency_radius_250,saturation_risk_radius_250
"los angeles, ca",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,59.32558428735524,0.33930418449403527,0.6606958155059647,2.221774193548387,0.999645698848307,0.0,Low,176.2254325606256,0.33930418449403527,0.6606958155059647,2.221774193548387,0.999645698848307,0.0,Low,59.09418480635273,1.3266751004693427,-0.3266751004693426,2.221774193548387,0.999645698848307,0.0,Low,69.90610276287961,1.2396664541577587,-0.34596292484363794,2.221774193548387,0.999645698848307
"chicago, il",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,142.74172817654704,1.0019059927511857,0.07072858624339337,3.5183098591549298,0.9993720254126279,0.0,Low,139.67970208560743,0.9292714137566066,0.07072858624339337,3.5183098591549298,0.9993720254126279,0.0,Low,196.57784599948766,2.9612278577804947,-1.9292854849560446,3.5183098591549298,0.9993720254126279,0.0,Low,130.8578209285495,0.594788470417664,0.405211529582336,3.5183098591549298,0.9993720254126279
"miami, fl",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,52.471511167314084,1.9290657257905155,-0.9290657257905155,3.0678851174934727,0.997946611909651,0.0,Low,56.284919267931514,1.9453154796699708,-0.9453154796699708,3.0678851174934727,0.997946611909651,0.0,Low,98.97252997351097,6.990251509451785,-1.55185324681803,3.0678851174934727,0.997946611909651,0.0,Low,130.9987390962617,3.0591313752946547,-3.1145387254329364,3.0678851174934727,0.997946611909651
"houston, tx",0.14918121797380254,0.2583894490656334,1.7320508075688772,0,0.5967248718952102,0.0,0.5967248718952102,False,Unstable,0.0,Low,80.37646484841768,0.8661184891687961,0.13388151083120395,3.0873493975903616,0.999630224883415,0.0,Low,101.6931038628315,0.6543032963708456,0.13388151083120395,3.0873493975903616,0.999630224883415,0.0,Low,59.67666648540726,0.4566555322298765,0.34569670362915444,3.0873493975903616,0.999630224883415,0.5967248718952102,Low,78.88712282569004,1.5706211335286673,-0.7782807734940373,3.0873493975903616,0.999630224883415
"dallas, tx",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,301.74062681184256,4.06984031334414,-3.0698403133441396,4.316493313521545,0.9987102857110005,0.0,Low,145.85045097028623,1.9096266062620935,-0.9096266062620936,4.316493313521545,0.9987102857110005,0.0,Low,145.85045097028623,1.9096266062620935,-0.9096266062620936,4.316493313521545,0.9987102857110005,0.0,Low,133.74934989547407,1.9599490345371433,-3.5008587105495166,4.316493313521545,0.9987102857110005
"atlanta, ga",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,182.70299739065982,9.020658484497242,-7.395834811356269,3.4599303135888504,0.9974820475252563,0.0,Low,106.5437061604273,2.526872113393433,-1.5268721133934329,3.4599303135888504,0.9974820475252563,0.0,Low,157.034682822718,11.763745711868149,-2.4775075612369037,3.4599303135888504,0.9974820475252563,0.0,Low,163.6548811211126,11.180176484006267,-10.180176484006267,3.4599303135888504,0.9974820475252563
"phoenix, az",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,45.912660472615336,0.48195477121106906,-0.3400309711442364,3.5588235294117645,0.9995975705435165,0.0,Low,100.40464778948818,1.2188616591092085,-0.21886165910920846,3.5588235294117645,0.9995975705435165,0.0,Low,75.32469740595354,1.2949372492428401,-0.2949372492428401,3.5588235294117645,0.9995975705435165,0.0,Low,61.879608826288575,1.9167704672809522,-0.9167704672809524,3.5588235294117645,0.9995975705435165
"detroit, mi",0.2003457837693994,0.34700907657080793,1.7320508075688774,0,0.8013831350775976,0.0,0.8013831350775976,False,Unstable,0.0,Low,40.84684563750951,3.263171401299859,-0.1240634948359862,3.491329479768786,0.9993071464043702,0.0,Low,28.496314395582246,0.6576928217499001,-1.226581498851206,3.491329479768786,0.9993071464043702,0.0,Low,36.040474929248596,0.9083516954344232,0.0916483045655768,3.491329479768786,0.9993071464043702,0.8013831350775976,Low,38.46388953296109,1.369847870553202,-0.122769306560938,3.491329479768786,0.9993071464043702
"seattle, wa",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,42.67057185997695,0.7329854093811955,0.2670145906188045,2.2801724137931036,0.9993284685899867,0.0,Low,32.0063295125113,0.6569159038077789,0.3430840961922212,2.2801724137931036,0.9993284685899867,0.0,Low,42.67057185997695,0.6569159038077789,0.3430840961922212,2.2801724137931036,0.9993284685899867,0.0,Low,32.0063295125113,0.6569159038077789,-1.0571036145701258,2.2801724137931036,0.9993284685899867
"san francisco, ca",0.5047264763606814,0.013120975330381769,0.025996209719351876,0,0.03208991868983768,0.48452208963142374,0.5166120083212614,False,Excellent,0.5016555790960362,Low,30.028443460184477,0.8994121829331924,0.1005878170668077,1.6666666666666667,0.9995512527527319,0.48452208963142374,Low,30.762979969035005,1.6090121811770057,-1.1356927400433892,1.6666666666666667,0.9995512527527319,0.5166120083212614,Low,21.634811164227727,2.1356927400433894,-1.1356927400433892,1.6666666666666667,0.9995512527527319,0.5161162283940037,Low,11.219928210540482,0.6179472476248803,0.3820527523751197,1.6666666666666667,0.9995512527527319
