city_state,mean_score,std_dev,coefficient_of_variation,category_changes,score_range,min_score,max_score,is_zero_score,stability_rating,score_radius_50,category_radius_50,performance_diff_radius_50,network_penetration_radius_50,growth_potential_radius_50,performance_efficiency_radius_50,saturation_risk_radius_50,score_radius_100,category_radius_100,performance_diff_radius_100,network_penetration_radius_100,growth_potential_radius_100,performance_efficiency_radius_100,saturation_risk_radius_100,score_radius_150,category_radius_150,performance_diff_radius_150,network_penetration_radius_150,growth_potential_radius_150,performance_efficiency_radius_150,saturation_risk_radius_150,score_radius_250,category_radius_250,performance_diff_radius_250,network_penetration_radius_250,growth_potential_radius_250,performance_efficiency_radius_250,saturation_risk_radius_250
"mesquite, tx",0.9997176832129184,0.0004889870190549344,0.0004891251072837036,0,0.001129267148326396,0.9988707328516736,1.0,False,Excellent,1.0,High,-0.13240236789026325,1.2754595382416127,-0.27545953824161284,1.0416666666666667,0.9995235921154495,1.0,High,-0.13240236789026325,1.2754595382416127,-0.27545953824161284,1.0416666666666667,0.9995235921154495,1.0,High,-0.13240236789026325,1.2754595382416127,-0.27545953824161284,1.0416666666666667,0.9995235921154495,0.9988707328516736,High,-0.13240236789026325,1.2754595382416127,-0.27545953824161284,1.0416666666666667,0.9995235921154495
"elkhart, in",0.9868481513041565,0.0033776977939970294,0.003422712794803614,3,0.008770186881500441,0.9818133629813544,0.9905835498628548,False,Excellent,0.9891544793415887,High,1.0254155996419925,0.8038539020729519,0.19614609792704804,1.1,0.999532404376695,0.9905835498628548,Average,1.0254155996419925,0.8038539020729519,0.19614609792704804,1.1,0.999532404376695,0.9858412130308282,Low,1.0254155996419925,0.8038539020729519,0.19614609792704804,1.1,0.999532404376695,0.9818133629813544,Average,1.0254155996419925,0.8038539020729519,0.19614609792704804,1.1,0.999532404376695
"naperville, il",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.4861715387729561,0.622634924022719,0.37736507597728103,0.8461538461538461,0.9997584944918166,1.0,High,-0.4861715387729561,0.622634924022719,0.37736507597728103,0.8461538461538461,0.9997584944918166,1.0,High,-0.4861715387729561,0.622634924022719,0.37736507597728103,0.8461538461538461,0.9997584944918166,1.0,High,-0.4861715387729561,0.622634924022719,0.37736507597728103,0.8461538461538461,0.9997584944918166
"st. george, ut",0.9993738659536023,0.0010844959807094427,0.0010851754460024995,0,0.0025045361855906556,0.9974954638144093,1.0,False,Excellent,1.0,High,-0.3329039947235503,1.2370085662705126,-0.23700856627051248,1.25,0.9995276892195064,1.0,High,-0.3329039947235503,1.2370085662705126,-0.23700856627051248,1.25,0.9995276892195064,1.0,High,-0.3329039947235503,1.2370085662705126,-0.23700856627051248,1.25,0.9995276892195064,0.9974954638144093,High,-0.3329039947235503,1.2370085662705126,-0.23700856627051248,1.25,0.9995276892195064
"roseville, ca",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.19298017905428097,0.7461541881843706,0.2538458118156294,1.8125,0.9997150489759573,1.0,High,-0.19298017905428097,0.7461541881843706,0.2538458118156294,1.8125,0.9997150489759573,1.0,High,-0.19298017905428097,0.7461541881843706,0.2538458118156294,1.8125,0.9997150489759573,1.0,High,-0.19298017905428097,0.7461541881843706,0.2538458118156294,1.8125,0.9997150489759573
"ramapo, ny",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-1.0,0.0,1.0,0.0,0.9999738882941223,1.0,High,-1.0,0.0,1.0,0.0,0.9999738882941223,1.0,High,-1.0,0.0,1.0,0.0,0.9999738882941223,1.0,High,-1.0,0.0,1.0,0.0,0.9999738882941223
"topeka, ks",0.948360389239617,0.08944242952006387,0.09431270067255514,0,0.20655844304153204,0.793441556958468,1.0,False,Excellent,1.0,High,-0.3998904384889654,0.7202110402433717,0.27978895975662826,1.2,0.9997237263786054,1.0,High,-0.3998904384889654,0.7202110402433717,0.27978895975662826,1.2,0.9997237263786054,1.0,High,-0.3998904384889654,0.7202110402433717,0.27978895975662826,1.2,0.9997237263786054,0.793441556958468,High,-0.3998904384889654,0.7202110402433717,0.27978895975662826,1.2,0.9997237263786054
"burlington, nc",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,0.21898775541653878,2.338280955511076,-1.3382809555110764,2.0952380952380953,0.9991215226939971,1.0,High,0.21898775541653878,2.338280955511076,-1.3382809555110764,2.0952380952380953,0.9991215226939971,1.0,High,0.21898775541653878,2.338280955511076,-1.3382809555110764,2.0952380952380953,0.9991215226939971,1.0,High,0.21898775541653878,2.338280955511076,-1.3382809555110764,2.0952380952380953,0.9991215226939971
"warner robins, ga",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.4949432572701262,1.0943237348144166,-0.09432373481441665,1.0769230769230769,0.9995756210622532,1.0,High,-0.4949432572701262,1.0943237348144166,-0.09432373481441665,1.0769230769230769,0.9995756210622532,1.0,High,-0.4949432572701262,1.0943237348144166,-0.09432373481441665,1.0769230769230769,0.9995756210622532,1.0,High,-0.4949432572701262,1.0943237348144166,-0.09432373481441665,1.0769230769230769,0.9995756210622532
"surprise, az",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,0.03964217480968001,1.5279835434981228,-0.5279835434981228,1.3666666666666667,0.9994342398068872,1.0,High,0.03964217480968001,1.5279835434981228,-0.5279835434981228,1.3666666666666667,0.9994342398068872,1.0,High,0.03964217480968001,1.5279835434981228,-0.5279835434981228,1.3666666666666667,0.9994342398068872,1.0,High,0.03964217480968001,1.5279835434981228,-0.5279835434981228,1.3666666666666667,0.9994342398068872
"torrance, ca",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,0.27411555211135247,2.054641797662658,-1.0546417976626576,1.0,0.9992467988953051,1.0,High,0.27411555211135247,2.054641797662658,-1.0546417976626576,1.0,0.9992467988953051,1.0,High,0.27411555211135247,2.054641797662658,-1.0546417976626576,1.0,0.9992467988953051,1.0,High,0.27411555211135247,2.054641797662658,-1.0546417976626576,1.0,0.9992467988953051
