city_state,mean_score,std_dev,coefficient_of_variation,category_changes,score_range,min_score,max_score,is_zero_score,stability_rating,score_radius_50,category_radius_50,performance_diff_radius_50,network_penetration_radius_50,growth_potential_radius_50,performance_efficiency_radius_50,saturation_risk_radius_50,score_radius_100,category_radius_100,performance_diff_radius_100,network_penetration_radius_100,growth_potential_radius_100,performance_efficiency_radius_100,saturation_risk_radius_100,score_radius_150,category_radius_150,performance_diff_radius_150,network_penetration_radius_150,growth_potential_radius_150,performance_efficiency_radius_150,saturation_risk_radius_150,score_radius_250,category_radius_250,performance_diff_radius_250,network_penetration_radius_250,growth_potential_radius_250,performance_efficiency_radius_250,saturation_risk_radius_250
"new york, ny",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,26.227883944852312,0.7876288368113993,0.2123711631886007,1.696871628910464,0.9997176992519486,0.0,Low,26.227883944852312,0.7876288368113993,0.2123711631886007,1.696871628910464,0.9997176992519486,0.0,Low,26.227883944852312,0.7876288368113993,0.2123711631886007,1.696871628910464,0.9997176992519486,0.0,Low,26.227883944852312,0.7876288368113993,0.2123711631886007,1.696871628910464,0.9997176992519486
"los angeles, ca",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,15.890378284359855,0.9876563733950091,0.012343626604990918,2.221774193548387,0.999645698848307,0.0,Low,15.890378284359855,0.9876563733950091,0.012343626604990918,2.221774193548387,0.999645698848307,0.0,Low,15.890378284359855,0.9876563733950091,0.012343626604990918,2.221774193548387,0.999645698848307,0.0,Low,15.890378284359855,0.9876563733950091,0.012343626604990918,2.221774193548387,0.999645698848307
"chicago, il",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,33.55404239760143,1.7520993443215713,-0.7520993443215713,3.5183098591549298,0.9993720254126279,0.0,Low,33.55404239760143,1.7520993443215713,-0.7520993443215713,3.5183098591549298,0.9993720254126279,0.0,Low,33.55404239760143,1.7520993443215713,-0.7520993443215713,3.5183098591549298,0.9993720254126279,0.0,Low,33.55404239760143,1.7520993443215713,-0.7520993443215713,3.5183098591549298,0.9993720254126279
"miami, fl",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,14.301844847265755,5.730417023778168,-4.730417023778168,3.0678851174934727,0.997946611909651,0.0,Low,14.301844847265755,5.730417023778168,-4.730417023778168,3.0678851174934727,0.997946611909651,0.0,Low,14.301844847265755,5.730417023778168,-4.730417023778168,3.0678851174934727,0.997946611909651,0.0,Low,14.301844847265755,5.730417023778168,-4.730417023778168,3.0678851174934727,0.997946611909651
"houston, tx",0.15716557034888834,0.27221875304481524,1.7320508075688772,0,0.6286622813955534,0.0,0.6286622813955534,False,Unstable,0.0,Low,13.871652308363018,1.0297795737103719,-0.02977957371037177,3.0873493975903616,0.999630224883415,0.0,Low,13.871652308363018,1.0297795737103719,-0.02977957371037177,3.0873493975903616,0.999630224883415,0.0,Low,13.871652308363018,1.0297795737103719,-0.02977957371037177,3.0873493975903616,0.999630224883415,0.6286622813955534,Low,13.871652308363018,1.0297795737103719,-0.02977957371037177,3.0873493975903616,0.999630224883415
"dallas, tx",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,35.6310352395566,3.600514849805961,-2.600514849805961,4.316493313521545,0.9987102857110005,0.0,Low,35.6310352395566,3.600514849805961,-2.600514849805961,4.316493313521545,0.9987102857110005,0.0,Low,35.6310352395566,3.600514849805961,-2.600514849805961,4.316493313521545,0.9987102857110005,0.0,Low,35.6310352395566,3.600514849805961,-2.600514849805961,4.316493313521545,0.9987102857110005
"philadelphia, pa",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,8.583166905443738,1.1988686151810422,-0.1988686151810422,2.2288732394366195,0.9995693145732423,0.0,Low,8.583166905443738,1.1988686151810422,-0.1988686151810422,2.2288732394366195,0.9995693145732423,0.0,Low,8.583166905443738,1.1988686151810422,-0.1988686151810422,2.2288732394366195,0.9995693145732423,0.0,Low,8.583166905443738,1.1988686151810422,-0.1988686151810422,2.2288732394366195,0.9995693145732423
"atlanta, ga",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,26.5864677513364,7.03627258400837,-6.03627258400837,3.4599303135888504,0.9974820475252563,0.0,Low,26.5864677513364,7.03627258400837,-6.03627258400837,3.4599303135888504,0.9974820475252563,0.0,Low,26.5864677513364,7.03627258400837,-6.03627258400837,3.4599303135888504,0.9974820475252563,0.0,Low,26.5864677513364,7.03627258400837,-6.03627258400837,3.4599303135888504,0.9974820475252563
"washington, dc",0.7883939271466079,0.0960850548381272,0.12187442283565363,0,0.24010640537032657,0.6242068969369474,0.864313302307274,False,Good,0.845030337908292,Low,2.8494340529950772,1.5739251710441986,-0.5739251710441986,1.3798882681564246,0.9994334815565015,0.6242068969369474,Low,2.8494340529950772,1.5739251710441986,-0.5739251710441986,1.3798882681564246,0.9994334815565015,0.864313302307274,Low,2.8494340529950772,1.5739251710441986,-0.5739251710441986,1.3798882681564246,0.9994334815565015,0.8200251714339184,Low,2.8494340529950772,1.5739251710441986,-0.5739251710441986,1.3798882681564246,0.9994334815565015
"boston, ma",0.0,0.0,0.0,0,0.0,0.0,0.0,True,Excellent,0.0,Low,6.42941325323855,1.810573398373558,-0.810573398373558,2.2888888888888888,0.9993483785486218,0.0,Low,6.42941325323855,1.810573398373558,-0.810573398373558,2.2888888888888888,0.9993483785486218,0.0,Low,6.42941325323855,1.810573398373558,-0.810573398373558,2.2888888888888888,0.9993483785486218,0.0,Low,6.42941325323855,1.810573398373558,-0.810573398373558,2.2888888888888888,0.9993483785486218
